Source,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,total_count,Association
Die Welt am Sonntag (English),754,23,37,1,9,4,2,16,1,0,4,2,2,9,2,0,2,2,3,4,4,6,1,5,0,4,5,5,5,2,15,6,0,2,6,2,2,0,2,4,3,3,2,5,1,3,4,13,0,6,0,2,2,2,0,0,3,0,3,0,0,2,12,0,1019,Europe
East Anglian Daily Times,160,8,0,0,4,0,2,0,0,0,1,0,1,0,5,0,4,2,0,0,0,2,0,0,0,0,3,0,0,2,0,0,0,3,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,Europe
Eastern Daily Press,142,8,0,0,4,0,2,0,0,0,0,0,1,0,5,0,3,2,0,0,0,2,0,0,0,0,3,0,0,2,0,0,0,3,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,183,Europe
Economic Times (E-Paper Edition),901,107,8,31,0,5,0,0,26,0,4,64,0,20,5,0,0,0,14,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,1,0,4,13,0,0,0,1,0,0,0,0,0,0,0,8,0,1,1227,India
Edmonton Journal (Alberta),462,0,6,2,2,5,0,14,1,0,6,0,0,0,0,0,0,4,0,3,3,3,7,2,0,0,7,3,4,0,0,7,0,1,1,1,2,1,2,5,0,2,0,0,0,2,0,2,3,4,3,0,4,0,1,1,0,0,1,1,1,0,0,0,579,Canada
Edmonton Sun,542,0,18,6,0,5,1,5,0,0,6,1,0,7,0,0,1,0,2,8,1,4,6,1,0,0,12,5,0,5,4,3,0,4,0,4,0,0,4,4,3,1,1,1,0,4,1,0,1,0,0,0,0,1,0,1,0,0,3,0,0,1,1,0,678,Canada
Egypt Independent,1010,3,18,15,30,8,35,5,15,0,10,3,24,1,8,0,14,17,14,3,4,5,1,8,14,4,0,0,7,2,4,0,5,6,9,5,2,6,0,4,5,5,5,3,8,3,7,5,4,0,0,0,1,3,4,1,4,0,1,13,7,1,1,3,1403,MENA
Express and Star,168,0,0,2,2,1,1,3,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,2,1,7,0,0,2,0,1,3,2,1,1,0,0,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,1,217,Europe
"Financial Times (London, England)",4656,151,23,147,30,25,53,10,76,0,8,106,86,3,27,0,40,15,14,8,16,13,4,13,7,51,67,1,0,36,2,5,17,0,4,4,26,34,15,5,22,10,12,1,13,14,9,5,17,1,0,0,15,1,28,25,1,0,8,9,0,12,9,33,6043,Europe
Free Press Journal (India),516,58,4,3,0,6,1,2,3,0,4,6,1,3,2,0,1,2,5,0,1,4,0,1,0,1,0,1,2,1,1,0,1,3,3,1,4,5,1,2,1,2,0,0,0,0,1,1,4,0,0,0,2,1,3,2,0,0,5,0,0,2,0,0,673,India
