Source,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,total_count,Association
The Johns Hopkins News-Letter: Johns Hopkins University,21,0,1,0,0,0,0,1,0,0,4,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,US
The Jordan Times,132,0,0,0,0,5,5,2,0,0,2,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,3,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,2,168,MENA
The Justice: Brandeis University,110,0,0,2,2,0,0,0,1,0,3,0,1,0,2,0,1,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,137,US
The Lariat: Baylor University,87,0,3,1,0,3,0,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,114,US
"The Leader-Post (Regina, Saskatchewan)",364,0,9,1,0,13,5,4,4,0,19,0,0,3,0,0,0,1,0,0,3,1,1,0,5,0,7,1,2,0,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,3,0,0,0,2,2,0,0,1,0,0,0,0,0,465,Canada
The Leader: Elmhurst College,21,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,27,US
The Libertarian Institute,130,0,0,2,0,10,0,1,1,0,0,0,1,0,1,0,1,0,0,2,0,6,0,0,0,1,0,1,0,1,0,0,2,0,1,0,3,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,172,US
The Main Campus: University of Maine,131,0,2,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,2,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,160,US
The Malta Independent,2764,9,19,16,88,29,75,5,19,0,17,0,62,5,47,0,40,56,38,13,7,8,1,13,24,3,0,8,0,8,0,8,7,19,25,5,1,21,3,3,5,2,11,2,4,1,18,5,4,3,0,0,0,23,9,5,7,0,2,33,11,3,6,6,3626,Europe
The Marquette Tribune: Marquette University,35,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,47,US
The McGill Tribune: McGill University,86,0,8,0,0,0,0,2,0,0,4,0,1,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,1,0,1,1,2,3,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,120,US
The Mercury (South Africa),228,0,1,5,5,3,6,2,4,0,3,3,4,1,1,0,4,2,3,0,1,1,0,0,4,5,0,1,0,4,0,0,2,0,3,0,4,5,0,3,1,0,4,2,3,0,0,0,1,0,0,0,2,1,0,0,1,0,1,0,0,0,0,1,325,South Africa
The Michigan Journal: University of Michigan - Dearborn,22,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,31,US
The Michigan Review: University of Michigan - Ann Arbor,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,US
The Morning Call,805,3,2,10,12,5,3,1,21,0,2,4,5,5,8,0,1,4,2,0,6,4,2,4,14,1,0,0,2,6,2,1,2,1,4,2,0,2,3,0,2,3,5,0,6,4,3,3,0,0,1,0,1,4,0,3,3,0,2,4,3,2,0,3,1001,US
The Nation (AsiaNet),240,1,0,6,3,5,0,1,3,0,1,1,1,0,2,0,7,1,1,1,2,5,0,0,0,1,0,1,0,1,0,3,2,0,0,3,3,2,1,0,2,1,0,2,1,3,1,0,1,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,314,India
The Nation (Nigeria),809,2,1,20,6,12,7,5,5,0,6,1,4,6,5,0,2,7,5,2,7,4,1,0,4,7,0,0,0,4,0,2,0,4,2,2,2,3,3,3,4,0,4,1,2,3,0,1,3,0,1,0,0,4,0,0,2,0,0,2,0,0,0,12,992,Nigeria
The National (Scotland),759,1,11,7,7,23,7,12,2,0,9,1,7,13,2,0,6,1,3,7,1,3,3,6,13,1,0,5,0,4,12,1,8,1,5,5,3,0,0,6,1,2,0,4,0,7,4,2,5,8,0,0,1,2,0,6,2,1,0,2,1,3,2,1,1009,Europe
The Nevada Sagebrush: University of Nevada - Reno,16,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,US
The New Arab,2185,3,21,48,27,39,42,4,23,0,17,4,32,7,22,0,15,24,14,19,10,12,11,5,14,21,0,12,3,18,6,7,7,4,4,10,16,7,12,12,13,12,14,2,9,9,4,1,2,5,1,0,0,17,6,10,1,0,11,5,3,7,2,8,2879,MENA
The New York Times,14848,153,412,250,175,134,114,241,206,0,132,143,81,194,66,0,126,44,30,76,150,54,46,69,61,70,102,45,73,55,113,73,34,28,41,46,54,37,73,29,54,40,79,73,68,47,59,86,52,27,9,521,63,22,27,49,35,0,39,35,49,49,43,50,20254,US
The New York Times - International Edition,1504,11,18,35,17,9,9,30,30,0,13,20,4,16,9,0,6,2,2,11,8,9,2,18,6,12,0,5,8,9,0,4,9,7,5,1,7,1,9,3,9,7,7,6,6,4,2,7,7,2,0,77,5,6,8,9,5,0,7,6,5,2,8,8,2072,US
The News International,373,3,2,10,5,8,0,1,13,0,2,3,0,0,0,0,0,1,0,3,2,2,2,0,2,8,0,0,0,7,0,0,6,0,0,3,6,4,1,1,3,0,0,0,6,10,3,0,2,3,0,0,0,0,4,1,1,0,0,0,0,2,0,1,504,Pakistan
The Northern Star: Northern Illinois University,40,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,US
The Observer (London),526,1,2,12,11,6,7,12,2,0,4,0,0,2,0,0,5,1,1,4,0,5,3,6,4,4,0,1,0,6,0,2,14,1,2,1,7,1,0,3,4,5,0,0,1,3,4,0,0,4,0,0,0,0,3,2,3,0,2,1,4,3,4,2,701,Europe
The Observer: University of Notre Dame,25,0,1,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,38,US
The Observer: Yeshiva University,40,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,US
The Oracle: University of South Florida,50,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,1,0,0,0,1,0,2,1,0,0,1,2,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,US
The Orion: California State University - Chico,105,0,14,0,1,0,0,2,0,0,6,0,0,0,1,0,1,0,2,0,0,2,0,2,0,0,0,0,1,0,1,2,0,4,0,0,0,0,0,2,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,151,US
The Pan American: University of Texas - Pan American,119,1,8,1,1,2,0,5,0,0,2,0,1,1,0,0,0,1,0,2,0,1,3,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,157,US
The Peninsula,147,1,2,1,6,5,3,1,2,0,0,1,3,0,6,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,3,1,3,0,4,0,0,0,0,1,0,0,1,0,0,2,0,0,1,1,0,2,0,1,207,MENA
The Peterborough Examiner (Ontario),407,1,2,7,6,2,6,5,3,0,4,2,3,1,3,0,2,4,4,1,1,4,1,3,1,0,0,0,0,1,1,1,1,0,3,1,0,1,2,2,2,2,0,2,2,2,0,2,1,2,1,0,3,2,2,0,0,0,0,1,1,1,0,0,512,Canada
The Peterborough Examiner (Ontario) Online,704,1,2,1,5,2,10,2,0,0,2,0,0,7,1,0,0,3,4,0,0,0,4,4,0,0,0,4,0,2,0,3,2,0,0,1,2,0,2,0,1,2,0,1,0,0,1,0,0,2,9,0,1,1,2,2,3,0,3,0,0,0,0,0,796,Canada
The Philadelphia Inquirer,594,5,27,6,6,9,0,16,2,0,17,0,4,16,0,0,5,1,0,0,7,2,9,1,0,0,0,6,5,2,3,8,6,5,1,1,2,2,3,6,0,4,0,7,0,2,4,4,0,0,0,0,5,1,2,0,3,0,2,0,0,0,0,3,814,US
The Philippine Star,483,32,1,19,3,8,18,1,11,0,8,15,6,0,1,0,11,0,10,2,1,3,0,0,4,4,0,1,3,3,1,0,0,7,4,2,1,2,3,0,1,2,1,1,2,4,3,0,4,0,0,0,0,1,0,1,5,0,3,0,2,1,0,4,703,Philippines
The Pioneer (India),512,0,0,18,5,7,6,2,3,0,3,4,1,6,0,0,1,0,1,7,4,3,2,0,7,6,0,0,2,1,0,3,0,0,5,2,3,2,4,2,5,0,0,0,3,2,2,1,1,2,0,0,1,0,5,3,0,19,6,0,0,0,0,1,673,India
The Pitt News: University of Pittsburgh - Pittsburgh Campus,39,0,2,0,0,1,0,1,0,0,2,0,0,1,1,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,55,US
The Post,824,3,8,5,4,8,5,0,4,0,1,1,1,3,3,2,6,4,2,8,0,6,0,1,4,0,0,0,0,0,4,0,2,1,0,1,4,0,3,1,1,2,1,5,4,2,5,3,1,3,21,0,1,0,0,1,0,0,3,0,4,0,3,0,979,Europe
The Post: Ohio University,56,0,5,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,2,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,78,US
"The Press (Christchurch, New Zealand)",874,4,10,3,7,9,6,2,2,0,1,0,1,2,4,2,6,0,1,8,0,8,0,1,4,0,0,0,2,2,6,0,5,1,0,3,5,0,5,1,1,2,1,4,0,1,5,4,1,4,20,0,1,0,0,0,0,0,2,0,3,0,3,0,1037,New Zealand
The Press and Journal,294,6,3,3,6,1,7,9,1,0,2,1,1,6,5,0,6,3,4,1,0,0,1,1,3,0,15,1,0,2,0,0,2,0,3,1,0,3,0,0,1,0,0,0,0,0,2,2,0,0,0,0,1,1,1,0,0,0,0,4,5,0,0,0,408,Europe
The Punch,333,6,1,3,10,5,2,1,1,0,1,0,2,2,7,0,4,1,8,0,3,1,0,1,7,1,0,1,0,5,0,0,2,2,1,1,5,1,0,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,1,0,1,1,4,0,0,0,432,Nigeria
The Rebel Yell: University of Nevada - Las Vegas,31,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,US
"The Record (Waterloo Region, Ontario) Online",933,2,4,3,6,8,12,2,0,0,3,0,0,7,2,0,0,6,10,0,1,0,6,7,1,0,0,4,0,2,0,4,2,0,0,2,2,0,3,0,2,4,0,1,0,0,2,0,0,3,9,0,1,2,2,6,4,0,5,0,0,0,0,0,1073,Canada
The Record: Buffalo State University,12,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,US
The Scroll: Brigham Young University-Idaho,21,0,2,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,34,US
The Shorthorn: University of Texas - Arlington,19,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,US
The South End: Wayne State University,44,0,7,0,0,0,0,5,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,69,US
The Southland Times (New Zealand),543,0,7,2,2,0,5,0,2,0,1,0,1,0,3,2,4,0,1,0,0,4,0,1,4,0,0,0,0,0,2,0,0,1,0,0,0,0,1,1,0,0,0,2,0,1,4,4,0,3,13,0,1,0,0,0,0,0,1,0,4,0,0,0,620,New Zealand
The Spectrum: Sacred Heart University,21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,US
The Spinnaker: University of North Florida,39,1,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,US
The Standard (Kenya),360,0,0,1,2,7,0,3,1,0,5,0,3,1,5,0,3,2,2,0,1,1,1,0,1,4,0,0,0,2,1,0,0,0,0,1,6,2,1,0,8,1,2,1,1,2,2,2,1,1,0,0,0,3,2,3,0,0,2,0,0,1,1,1,450,Kenya
"The Standard (St. Catharines, Ontario)",75,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,86,Canada
"The Standard (St. Catharines, Ontario) Online",1315,4,11,3,7,19,14,4,0,0,9,0,1,9,2,0,1,10,10,2,1,0,8,3,1,0,0,4,4,4,2,5,5,0,2,1,1,0,3,0,2,4,2,1,2,2,2,0,0,2,11,0,2,2,1,4,4,0,2,0,0,0,2,0,1510,Canada
The Stanford Daily: Stanford University,83,1,4,0,1,1,0,5,0,0,1,0,1,2,0,0,1,0,0,1,0,1,2,0,0,0,0,2,0,0,2,0,0,0,0,1,1,2,1,2,0,0,0,2,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,122,US
The Star (South Africa),182,1,1,4,3,3,5,3,6,0,2,3,1,1,1,0,0,0,2,2,0,0,0,2,0,0,0,1,0,2,0,0,2,1,2,0,4,1,1,3,1,1,0,2,0,1,0,1,2,0,0,0,2,0,3,1,0,0,2,3,0,0,1,0,259,South Africa
"The Star Phoenix (Saskatoon, Saskatchewan)",157,0,3,1,0,3,0,3,1,0,2,0,0,0,0,0,2,1,0,0,3,1,1,0,0,0,5,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,192,Canada
The Straits Times (Singapore),667,44,4,24,3,10,7,3,25,0,2,29,1,1,5,0,0,3,3,6,3,3,2,0,0,9,10,0,0,0,6,0,2,0,1,1,2,5,1,0,7,0,4,1,11,1,1,1,8,0,0,0,1,2,1,2,3,0,2,1,1,0,1,3,933,Singapore
The Student Life: Washington University - St. Louis,156,0,2,0,1,5,0,5,0,0,5,0,0,1,0,0,4,1,0,0,0,2,1,3,2,0,0,0,2,3,1,4,2,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,209,US
The Stute: Stevens Institute of Technology,85,0,0,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,US
The Suffolk Journal: Suffolk University,23,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,US
The Sun (England),1093,5,41,1,51,25,16,11,6,0,10,0,2,4,7,0,6,4,0,10,0,5,14,13,4,14,33,2,1,4,13,2,5,4,3,5,6,1,2,4,0,11,2,4,0,0,0,4,4,5,0,0,0,4,4,7,3,0,0,3,4,1,2,0,1485,Europe
"The Sun Herald (Sydney, Australia)",90,1,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,Australia
The Sunday Telegraph (London),536,0,6,10,3,16,1,2,5,0,2,2,0,2,0,0,9,5,0,3,6,6,19,4,0,0,8,9,0,2,1,8,0,4,5,3,1,12,0,7,5,1,0,1,5,1,0,2,0,5,0,0,0,0,2,3,2,0,0,0,3,2,0,0,729,Europe
The Sunday Times (London),964,24,15,20,13,14,5,13,8,0,8,11,8,3,6,0,4,6,7,7,2,5,2,4,4,1,11,5,4,6,2,8,9,0,8,10,1,0,4,11,2,2,2,5,2,4,0,7,3,2,0,0,2,0,0,6,0,0,2,0,0,0,0,2,1274,Europe
The Telegraph (India),307,8,3,3,2,12,1,2,14,0,3,1,0,2,5,0,3,1,5,0,2,0,1,0,2,1,0,3,3,1,2,2,0,2,1,1,2,2,2,1,5,1,0,0,6,1,2,0,0,5,0,0,1,0,2,0,1,0,0,0,1,4,0,4,433,India
The Thaiger,166,4,1,1,4,0,4,0,8,0,0,2,0,0,0,0,1,6,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,9,1,0,1,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,226,Thailand
The Timaru Herald (New Zealand),640,1,10,2,4,2,6,5,2,0,3,0,1,0,3,2,4,1,2,0,0,7,0,3,4,0,0,0,0,0,2,2,0,1,0,0,0,2,1,1,0,1,0,2,0,1,5,5,0,3,16,0,1,0,0,0,0,0,0,0,3,0,0,0,748,New Zealand
The Times (London),3734,77,48,58,27,54,40,56,50,0,17,26,13,25,35,0,25,10,12,15,12,33,34,11,25,13,72,26,11,30,2,38,20,20,17,30,16,11,8,48,14,15,10,25,15,16,23,14,4,19,0,0,8,2,6,15,4,0,16,6,14,11,9,17,5062,Europe
The Times of India (TOI),1608,42,14,51,13,19,18,16,15,0,18,14,4,15,18,0,3,2,23,7,4,5,5,3,7,12,0,8,1,4,2,10,7,14,11,5,7,9,7,7,10,1,5,3,10,4,8,2,4,5,1,0,9,1,1,7,11,0,3,3,1,6,3,3,2129,India
The Toronto Star,1679,13,31,17,29,27,11,8,11,0,4,14,13,4,7,0,16,2,14,12,7,7,4,8,6,7,0,6,2,14,6,7,9,4,10,5,6,7,5,5,8,7,1,3,3,11,0,3,4,10,5,0,4,5,3,5,8,0,2,3,2,2,2,1,2129,Canada
The Towerlight: Towson University,25,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,37,US
The Tripod: Trinity College,43,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,50,US
The University News: Saint Louis University,84,0,0,1,0,1,0,3,0,0,3,0,0,4,0,0,1,0,0,1,3,0,2,1,0,0,0,0,2,1,1,2,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,119,US
The Vancouver Sun (British Columbia),627,0,8,1,2,5,0,15,1,0,3,0,0,6,0,0,2,3,0,0,4,3,12,9,0,0,8,3,12,0,3,7,5,1,1,0,0,1,2,6,0,0,0,1,0,0,0,1,3,2,8,0,5,0,1,1,0,0,1,1,1,0,1,0,776,Canada
The Vie Collegienne: Lebanon Valley College,12,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,US
The Wesleyan Argus: Wesleyan University,123,0,2,0,1,5,1,2,1,0,0,0,2,2,0,0,0,0,0,1,0,2,1,0,0,1,0,0,0,1,0,0,2,1,0,1,1,0,1,1,0,0,0,3,0,1,0,1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,161,US
The Western Mail,678,5,4,15,7,4,21,4,5,0,7,0,11,0,7,0,1,3,5,1,2,3,1,3,7,4,16,6,1,5,0,1,8,0,4,1,2,7,3,0,2,3,0,3,2,2,2,2,0,0,1,0,3,6,1,2,2,0,0,5,3,0,2,3,896,Europe
TheHill.com,2312,32,17,48,24,19,20,19,18,0,20,3,19,27,55,0,15,13,7,24,48,25,9,7,2,18,0,11,6,9,12,11,6,13,4,13,12,11,20,8,22,3,12,3,10,17,4,0,7,12,3,0,12,10,13,11,1,0,2,3,8,11,1,6,3108,US
Times of Oman,243,5,1,2,9,4,8,1,2,0,1,1,3,0,7,0,1,3,7,0,4,1,0,1,6,1,0,0,0,0,0,0,0,3,1,0,1,0,0,0,1,1,1,1,5,2,0,0,0,0,1,0,0,1,0,1,0,0,0,2,2,0,0,0,334,MENA
Toronto Sun,1625,3,47,12,1,50,1,14,0,0,16,2,2,28,3,0,5,2,4,14,17,14,26,12,4,1,19,26,2,15,13,26,6,6,1,25,4,2,23,13,1,7,1,5,3,1,1,10,1,15,11,0,5,5,4,5,2,0,12,0,3,3,5,0,2184,Canada
Tufts Daily: Tufts University,69,0,0,1,4,3,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,90,US
USA Today,1297,22,21,8,17,11,10,24,18,0,21,4,8,9,15,0,12,4,8,2,12,9,3,17,4,3,24,4,9,8,4,4,7,7,7,2,3,1,1,5,3,6,2,7,2,2,6,3,2,3,0,0,7,3,1,3,12,0,3,1,7,3,3,0,1724,US
USA Today Online,5859,106,143,30,88,35,43,73,36,0,55,14,48,40,45,0,37,27,42,19,52,27,15,31,31,14,0,7,20,20,48,14,21,34,33,11,18,16,27,19,5,21,10,23,8,8,28,32,15,13,4,0,15,10,7,6,13,0,7,17,5,15,19,13,7492,US
Vermont Cynic: University of Vermont,38,0,2,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53,US
"Waikato Times (Hamilton, New Zealand)",726,1,7,3,4,6,6,1,3,0,1,0,2,2,3,2,6,1,1,4,0,6,0,1,4,0,0,0,0,0,3,0,2,1,0,1,0,0,3,1,0,2,1,2,3,1,4,4,1,3,17,0,1,0,0,0,0,0,2,0,3,0,2,0,847,New Zealand
Washington Square News: New York University,184,2,8,1,0,6,1,0,0,0,4,0,0,1,0,0,0,2,0,5,0,3,3,0,0,0,0,1,2,1,2,2,2,0,0,2,0,0,2,10,0,0,0,0,0,0,1,4,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,253,US
Waterloo Region Record (Ontario),461,1,2,7,6,2,5,7,5,0,5,3,3,1,3,0,3,5,4,2,1,4,1,3,1,2,0,0,0,1,2,2,1,0,3,1,0,1,2,2,2,2,0,3,2,2,0,2,1,2,1,0,3,2,2,0,0,0,0,1,1,1,0,0,579,Canada
Weekly Blitz,586,0,0,5,3,10,0,6,9,0,2,1,0,3,0,0,2,0,2,8,2,1,5,1,1,3,0,3,1,7,4,0,3,1,0,4,5,0,10,1,1,2,2,2,0,0,0,0,1,2,0,0,0,1,0,9,0,16,2,0,0,2,0,2,731,Bangladesh
Weekly Trust,582,6,0,8,4,10,1,0,11,0,3,12,11,1,1,0,1,8,0,2,0,0,2,0,3,0,0,0,2,2,0,0,0,2,2,1,10,2,0,1,4,0,2,0,4,6,3,0,2,2,0,0,1,1,0,2,0,0,0,0,0,2,0,0,717,Nigeria
Welland Tribune (Ontario),75,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,86,Canada
Welland Tribune (Ontario) Online,1238,4,12,2,6,13,15,2,0,0,7,0,1,7,2,0,1,10,10,2,0,0,8,3,0,0,0,3,2,4,2,3,3,0,2,2,1,0,3,0,2,4,2,1,2,2,2,0,0,2,11,0,1,2,1,4,4,0,3,0,0,0,2,0,1413,Canada
Western Daily Press,290,4,3,5,5,2,6,1,3,0,4,0,4,1,2,0,1,0,0,1,0,0,2,2,1,1,13,1,2,1,0,2,3,2,1,0,0,0,1,0,0,2,2,1,0,1,0,1,0,0,0,0,2,1,1,0,0,0,0,1,1,0,0,0,377,Europe
What the Papers Say (EV) (Russia),213,2,2,5,3,3,0,0,7,0,1,3,1,1,4,0,0,4,0,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,1,3,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2,0,0,271,Europe
